Codi_Regio,Pais,Any,Taxa_Atur
BE10,Belgica,2021,12.4
BE21,Belgica,2021,5.2
BE22,Belgica,2021,3.4
BE23,Belgica,2021,2.8
BE24,Belgica,2021,4.0
BE25,Belgica,2021,3.6
BE31,Belgica,2021,6.8
BE32,Belgica,2021,10.3
BE33,Belgica,2021,9.4
BE34,Belgica,2021,5.6
BE35,Belgica,2021,7.6
DE11,Alemanya,2021,3.1
DE12,Alemanya,2021,3.4
DE13,Alemanya,2021,3.2
DE14,Alemanya,2021,3.0
DE21,Alemanya,2021,2.7
DE22,Alemanya,2021,1.8
DE23,Alemanya,2021,2.4
DE24,Alemanya,2021,3.3
DE25,Alemanya,2021,3.4
DE26,Alemanya,2021,2.6
DE27,Alemanya,2021,2.8
DE30,Alemanya,2021,5.7
DE40,Alemanya,2021,3.0
DE50,Alemanya,2021,6.5
DE60,Alemanya,2021,4.5
DE71,Alemanya,2021,4.1
DE72,Alemanya,2021,3.5
DE73,Alemanya,2021,3.0
DE80,Alemanya,2021,3.8
DE91,Alemanya,2021,3.9
DE92,Alemanya,2021,2.8
DE93,Alemanya,2021,3.1
DE94,Alemanya,2021,3.6
DEA1,Alemanya,2021,4.4
DEA2,Alemanya,2021,4.1
DEA3,Alemanya,2021,3.7
DEA4,Alemanya,2021,3.9
DEA5,Alemanya,2021,4.2
DEB1,Alemanya,2021,2.8
DEB3,Alemanya,2021,4.2
DEC0,Alemanya,2021,3.2
DED2,Alemanya,2021,3.4
DED4,Alemanya,2021,2.3
DED5,Alemanya,2021,4.5
DEE0,Alemanya,2021,4.2
DEF0,Alemanya,2021,3.2
DEG0,Alemanya,2021,3.5
ES11,Espanya,2021,11.6
ES12,Espanya,2021,12.3
ES13,Espanya,2021,11.3
ES21,Espanya,2021,10.3
ES22,Espanya,2021,10.7
ES23,Espanya,2021,11.6
ES24,Espanya,2021,10.3
ES30,Espanya,2021,11.7
ES41,Espanya,2021,11.6
ES42,Espanya,2021,15.7
ES43,Espanya,2021,20.2
ES51,Espanya,2021,11.7
ES52,Espanya,2021,16.1
ES53,Espanya,2021,14.3
ES61,Espanya,2021,21.9
ES62,Espanya,2021,14.7
ES63,Espanya,2021,30.8
ES64,Espanya,2021,25.4
ES70,Espanya,2021,23.5
FR10,Franca,2021,8.0
FRB0,Franca,2021,7.2
FRC1,Franca,2021,7.1
FRC2,Franca,2021,7.0
FRD1,Franca,2021,6.4
FRD2,Franca,2021,7.6
FRE1,Franca,2021,8.8
FRE2,Franca,2021,9.7
FRF1,Franca,2021,7.1
FRF2,Franca,2021,8.9
FRF3,Franca,2021,8.5
FRG0,Franca,2021,6.0
FRH0,Franca,2021,5.8
FRI1,Franca,2021,7.4
FRI2,Franca,2021,6.3
FRI3,Franca,2021,8.6
FRJ1,Franca,2021,11.4
FRJ2,Franca,2021,6.1
FRK1,Franca,2021,7.0
FRK2,Franca,2021,7.2
FRL0,Franca,2021,8.1
FRM0,Franca,2021,9.1
FRY1,Franca,2021,17.1
FRY2,Franca,2021,12.8
FRY3,Franca,2021,14.6
FRY4,Franca,2021,17.9
ITC1,Italia,2021,7.3
ITC2,Italia,2021,7.3
ITC3,Italia,2021,8.4
ITC4,Italia,2021,5.9
ITF1,Italia,2021,9.3
ITF2,Italia,2021,10.9
ITF3,Italia,2021,19.3
ITF4,Italia,2021,14.6
ITF5,Italia,2021,8.3
ITF6,Italia,2021,18.0
ITG1,Italia,2021,18.7
ITG2,Italia,2021,13.5
ITH1,Italia,2021,3.8
ITH2,Italia,2021,4.8
ITH3,Italia,2021,5.3
ITH4,Italia,2021,5.7
ITH5,Italia,2021,5.5
ITI1,Italia,2021,7.5
ITI2,Italia,2021,6.6
ITI3,Italia,2021,7.1
ITI4,Italia,2021,10.0
PT11,Portugal,2021,6.7
PT15,Portugal,2021,8.6
PT19,Portugal,2021,5.4
PT1A,Portugal,2021,6.8
PT1B,Portugal,2021,8.7
PT1C,Portugal,2021,6.8
PT1D,Portugal,2021,6.0
PT20,Portugal,2021,7.0
PT30,Portugal,2021,7.8
BE10,Belgica,2022,11.4
BE21,Belgica,2022,4.0
BE22,Belgica,2022,3.5
BE23,Belgica,2022,2.0
BE24,Belgica,2022,3.6
BE25,Belgica,2022,2.7
BE31,Belgica,2022,5.5
BE32,Belgica,2022,10.5
BE33,Belgica,2022,8.3
BE34,Belgica,2022,4.8
BE35,Belgica,2022,7.2
DE11,Alemanya,2022,2.8
DE12,Alemanya,2022,3.2
DE13,Alemanya,2022,2.3
DE14,Alemanya,2022,2.1
DE21,Alemanya,2022,2.2
DE24,Alemanya,2022,3.0
DE25,Alemanya,2022,2.9
DE26,Alemanya,2022,2.2
DE27,Alemanya,2022,2.3
DE30,Alemanya,2022,4.8
DE40,Alemanya,2022,3.3
DE50,Alemanya,2022,5.6
DE60,Alemanya,2022,4.0
DE71,Alemanya,2022,3.9
DE72,Alemanya,2022,2.6
DE73,Alemanya,2022,2.4
DE80,Alemanya,2022,3.8
DE91,Alemanya,2022,3.1
DE92,Alemanya,2022,3.1
DE93,Alemanya,2022,2.6
DE94,Alemanya,2022,2.7
DEA1,Alemanya,2022,3.9
DEA2,Alemanya,2022,3.2
DEA3,Alemanya,2022,3.4
DEA4,Alemanya,2022,2.7
DEA5,Alemanya,2022,3.9
DEB1,Alemanya,2022,2.8
DEB3,Alemanya,2022,3.6
DEC0,Alemanya,2022,3.7
DED2,Alemanya,2022,3.4
DED4,Alemanya,2022,2.3
DED5,Alemanya,2022,3.5
DEE0,Alemanya,2022,3.9
DEF0,Alemanya,2022,2.9
DEG0,Alemanya,2022,3.0
ES11,Espanya,2022,11.0
ES12,Espanya,2022,12.5
ES13,Espanya,2022,9.6
ES21,Espanya,2022,8.9
ES22,Espanya,2022,9.7
ES23,Espanya,2022,9.6
ES24,Espanya,2022,9.6
ES30,Espanya,2022,11.2
ES41,Espanya,2022,9.9
ES42,Espanya,2022,14.6
ES43,Espanya,2022,17.3
ES51,Espanya,2022,10.0
ES52,Espanya,2022,13.3
ES53,Espanya,2022,10.6
ES61,Espanya,2022,19.1
ES62,Espanya,2022,13.6
ES63,Espanya,2022,30.0
ES64,Espanya,2022,25.9
ES70,Espanya,2022,17.6
FR10,Franca,2022,7.6
FRB0,Franca,2022,6.4
FRC1,Franca,2022,6.7
FRC2,Franca,2022,5.9
FRD1,Franca,2022,6.2
FRD2,Franca,2022,7.9
FRE1,Franca,2022,8.7
FRE2,Franca,2022,9.1
FRF1,Franca,2022,6.7
FRF2,Franca,2022,8.0
FRF3,Franca,2022,6.9
FRG0,Franca,2022,6.1
FRH0,Franca,2022,5.9
FRI1,Franca,2022,6.9
FRI2,Franca,2022,6.8
FRI3,Franca,2022,7.2
FRJ1,Franca,2022,9.0
FRJ2,Franca,2022,6.2
FRK1,Franca,2022,7.1
FRK2,Franca,2022,6.6
FRL0,Franca,2022,6.7
FRM0,Franca,2022,6.1
FRY1,Franca,2022,18.6
FRY2,Franca,2022,12.5
FRY3,Franca,2022,13.1
FRY4,Franca,2022,18.1
ITC1,Italia,2022,6.5
ITC2,Italia,2022,5.4
ITC3,Italia,2022,7.0
ITC4,Italia,2022,4.9
ITF1,Italia,2022,9.4
ITF2,Italia,2022,10.5
ITF3,Italia,2022,17.1
ITF4,Italia,2022,12.1
ITF5,Italia,2022,7.1
ITF6,Italia,2022,14.6
ITG1,Italia,2022,16.6
ITG2,Italia,2022,11.5
ITH1,Italia,2022,2.3
ITH2,Italia,2022,3.8
ITH3,Italia,2022,4.2
ITH4,Italia,2022,5.3
ITH5,Italia,2022,5.0
ITI1,Italia,2022,6.0
ITI2,Italia,2022,7.1
ITI3,Italia,2022,6.2
ITI4,Italia,2022,7.7
PT11,Portugal,2022,6.0
PT15,Portugal,2022,6.0
PT19,Portugal,2022,4.7
PT1A,Portugal,2022,6.8
PT1B,Portugal,2022,9.7
PT1C,Portugal,2022,4.9
PT1D,Portugal,2022,5.5
PT20,Portugal,2022,6.1
PT30,Portugal,2022,6.8
BE10,Belgica,2023,10.6
BE21,Belgica,2023,3.6
BE22,Belgica,2023,3.2
BE23,Belgica,2023,2.9
BE24,Belgica,2023,4.2
BE25,Belgica,2023,2.8
BE31,Belgica,2023,5.7
BE32,Belgica,2023,9.3
BE33,Belgica,2023,9.1
BE34,Belgica,2023,6.5
BE35,Belgica,2023,6.6
DE11,Alemanya,2023,2.9
DE12,Alemanya,2023,2.9
DE13,Alemanya,2023,2.2
DE14,Alemanya,2023,2.1
DE21,Alemanya,2023,2.3
DE23,Alemanya,2023,2.1
DE24,Alemanya,2023,2.5
DE25,Alemanya,2023,2.4
DE26,Alemanya,2023,2.1
DE27,Alemanya,2023,1.8
DE30,Alemanya,2023,5.2
DE40,Alemanya,2023,3.3
DE50,Alemanya,2023,4.7
DE60,Alemanya,2023,4.1
DE71,Alemanya,2023,3.1
DE72,Alemanya,2023,3.0
DE73,Alemanya,2023,2.1
DE80,Alemanya,2023,4.3
DE91,Alemanya,2023,3.1
DE92,Alemanya,2023,3.0
DE93,Alemanya,2023,2.6
DE94,Alemanya,2023,2.5
DEA1,Alemanya,2023,4.0
DEA2,Alemanya,2023,3.3
DEA3,Alemanya,2023,3.0
DEA4,Alemanya,2023,2.4
