Pais;Ciutat;Data;Mes;Temperatura;Estacio
Portugal;Lisboa;01/01/2023;1;16,1;Hivern
Portugal;Lisboa;02/01/2023;1;11,6;Hivern
Portugal;Lisboa;03/01/2023;1;10,7;Hivern
Portugal;Lisboa;04/01/2023;1;10,7;Hivern
Portugal;Lisboa;05/01/2023;1;10,6;Hivern
Portugal;Lisboa;06/01/2023;1;11,4;Hivern
Portugal;Lisboa;07/01/2023;1;15,4;Hivern
Portugal;Lisboa;08/01/2023;1;16,2;Hivern
Portugal;Lisboa;09/01/2023;1;15,3;Hivern
Portugal;Lisboa;10/01/2023;1;14,9;Hivern
Portugal;Lisboa;11/01/2023;1;14,2;Hivern
Portugal;Lisboa;12/01/2023;1;11,3;Hivern
Portugal;Lisboa;13/01/2023;1;11,9;Hivern
Portugal;Lisboa;14/01/2023;1;12,4;Hivern
Portugal;Lisboa;15/01/2023;1;12,1;Hivern
Portugal;Lisboa;16/01/2023;1;13,9;Hivern
Portugal;Lisboa;17/01/2023;1;13;Hivern
Portugal;Lisboa;18/01/2023;1;10,7;Hivern
Portugal;Lisboa;19/01/2023;1;11,3;Hivern
Portugal;Lisboa;20/01/2023;1;14,3;Hivern
Portugal;Lisboa;21/01/2023;1;14,1;Hivern
Portugal;Lisboa;22/01/2023;1;10,2;Hivern
Portugal;Lisboa;23/01/2023;1;9,1;Hivern
Portugal;Lisboa;24/01/2023;1;8,4;Hivern
Portugal;Lisboa;25/01/2023;1;7,8;Hivern
Portugal;Lisboa;26/01/2023;1;8,7;Hivern
Portugal;Lisboa;27/01/2023;1;9,5;Hivern
Portugal;Lisboa;28/01/2023;1;8,8;Hivern
Portugal;Lisboa;29/01/2023;1;8;Hivern
Portugal;Lisboa;30/01/2023;1;7,9;Hivern
Portugal;Lisboa;31/01/2023;1;8,3;Hivern
Portugal;Lisboa;01/02/2023;2;7,9;Hivern
Portugal;Lisboa;02/02/2023;2;8,6;Hivern
Portugal;Lisboa;03/02/2023;2;9,7;Hivern
Portugal;Lisboa;04/02/2023;2;11,1;Hivern
Portugal;Lisboa;05/02/2023;2;11,5;Hivern
Portugal;Lisboa;06/02/2023;2;10,9;Hivern
Portugal;Lisboa;07/02/2023;2;9,7;Hivern
Portugal;Lisboa;08/02/2023;2;9,1;Hivern
Portugal;Lisboa;09/02/2023;2;12;Hivern
Portugal;Lisboa;10/02/2023;2;10,8;Hivern
Portugal;Lisboa;11/02/2023;2;10,4;Hivern
Portugal;Lisboa;12/02/2023;2;11,5;Hivern
Portugal;Lisboa;13/02/2023;2;11,7;Hivern
Portugal;Lisboa;14/02/2023;2;12,4;Hivern
Portugal;Lisboa;15/02/2023;2;14;Hivern
Portugal;Lisboa;16/02/2023;2;13,2;Hivern
Portugal;Lisboa;17/02/2023;2;13,7;Hivern
Portugal;Lisboa;18/02/2023;2;13,8;Hivern
Portugal;Lisboa;19/02/2023;2;13,8;Hivern
Portugal;Lisboa;20/02/2023;2;13,5;Hivern
Portugal;Lisboa;21/02/2023;2;12;Hivern
Portugal;Lisboa;22/02/2023;2;12;Hivern
Portugal;Lisboa;23/02/2023;2;10,5;Hivern
Portugal;Lisboa;24/02/2023;2;8,3;Hivern
Portugal;Lisboa;25/02/2023;2;9,6;Hivern
Portugal;Lisboa;26/02/2023;2;10,7;Hivern
Portugal;Lisboa;27/02/2023;2;10,3;Hivern
Portugal;Lisboa;28/02/2023;2;9;Hivern
Portugal;Lisboa;01/06/2023;6;20;Estiu
Portugal;Lisboa;02/06/2023;6;20;Estiu
Portugal;Lisboa;03/06/2023;6;20,4;Estiu
Portugal;Lisboa;04/06/2023;6;20,9;Estiu
Portugal;Lisboa;05/06/2023;6;21,9;Estiu
Portugal;Lisboa;06/06/2023;6;22;Estiu
Portugal;Lisboa;07/06/2023;6;21,1;Estiu
Portugal;Lisboa;08/06/2023;6;19,6;Estiu
Portugal;Lisboa;09/06/2023;6;19,8;Estiu
Portugal;Lisboa;10/06/2023;6;19,7;Estiu
Portugal;Lisboa;11/06/2023;6;19,6;Estiu
Portugal;Lisboa;12/06/2023;6;20,1;Estiu
Portugal;Lisboa;13/06/2023;6;19,8;Estiu
Portugal;Lisboa;14/06/2023;6;20,6;Estiu
Portugal;Lisboa;15/06/2023;6;23,8;Estiu
Portugal;Lisboa;16/06/2023;6;24,5;Estiu
Portugal;Lisboa;17/06/2023;6;21,9;Estiu
Portugal;Lisboa;18/06/2023;6;21,2;Estiu
Portugal;Lisboa;19/06/2023;6;20,3;Estiu
Portugal;Lisboa;20/06/2023;6;20,4;Estiu
Portugal;Lisboa;21/06/2023;6;20;Estiu
Portugal;Lisboa;22/06/2023;6;21,7;Estiu
Portugal;Lisboa;23/06/2023;6;26,1;Estiu
Portugal;Lisboa;24/06/2023;6;27,2;Estiu
Portugal;Lisboa;25/06/2023;6;25,2;Estiu
Portugal;Lisboa;26/06/2023;6;24,6;Estiu
Portugal;Lisboa;27/06/2023;6;24;Estiu
Portugal;Lisboa;28/06/2023;6;23,9;Estiu
Portugal;Lisboa;29/06/2023;6;21,6;Estiu
Portugal;Lisboa;30/06/2023;6;22,7;Estiu
Portugal;Lisboa;01/07/2023;7;23,7;Estiu
Portugal;Lisboa;02/07/2023;7;25;Estiu
Portugal;Lisboa;03/07/2023;7;22,6;Estiu
Portugal;Lisboa;04/07/2023;7;21,6;Estiu
Portugal;Lisboa;05/07/2023;7;21,6;Estiu
Portugal;Lisboa;06/07/2023;7;21,5;Estiu
Portugal;Lisboa;07/07/2023;7;20,9;Estiu
Portugal;Lisboa;08/07/2023;7;21,3;Estiu
Portugal;Lisboa;09/07/2023;7;21,6;Estiu
Portugal;Lisboa;10/07/2023;7;23,3;Estiu
Portugal;Lisboa;11/07/2023;7;22,4;Estiu
Portugal;Lisboa;12/07/2023;7;22,8;Estiu
Portugal;Lisboa;13/07/2023;7;23,7;Estiu
Portugal;Lisboa;14/07/2023;7;22,5;Estiu
Portugal;Lisboa;15/07/2023;7;21,6;Estiu
Portugal;Lisboa;16/07/2023;7;20,6;Estiu
Portugal;Lisboa;17/07/2023;7;22,2;Estiu
Portugal;Lisboa;18/07/2023;7;22,2;Estiu
Portugal;Lisboa;19/07/2023;7;22,1;Estiu
Portugal;Lisboa;20/07/2023;7;21,3;Estiu
Portugal;Lisboa;21/07/2023;7;21,3;Estiu
Portugal;Lisboa;22/07/2023;7;21,7;Estiu
Portugal;Lisboa;23/07/2023;7;21,3;Estiu
Portugal;Lisboa;24/07/2023;7;21,7;Estiu
Portugal;Lisboa;25/07/2023;7;20,7;Estiu
Portugal;Lisboa;26/07/2023;7;22,8;Estiu
Portugal;Lisboa;27/07/2023;7;21,3;Estiu
Portugal;Lisboa;28/07/2023;7;22,6;Estiu
Portugal;Lisboa;29/07/2023;7;23,1;Estiu
Portugal;Lisboa;30/07/2023;7;22,8;Estiu
Portugal;Lisboa;31/07/2023;7;22,1;Estiu
Portugal;Lisboa;01/08/2023;8;23,8;Estiu
Portugal;Lisboa;02/08/2023;8;23,5;Estiu
Portugal;Lisboa;03/08/2023;8;21,2;Estiu
Portugal;Lisboa;04/08/2023;8;23,1;Estiu
Portugal;Lisboa;05/08/2023;8;27,6;Estiu
Portugal;Lisboa;06/08/2023;8;29,9;Estiu
Portugal;Lisboa;07/08/2023;8;29,2;Estiu
Portugal;Lisboa;08/08/2023;8;22,8;Estiu
Portugal;Lisboa;09/08/2023;8;22,6;Estiu
Portugal;Lisboa;10/08/2023;8;23,5;Estiu
Portugal;Lisboa;11/08/2023;8;24,7;Estiu
Portugal;Lisboa;12/08/2023;8;24,5;Estiu
Portugal;Lisboa;13/08/2023;8;21,6;Estiu
Portugal;Lisboa;14/08/2023;8;21,8;Estiu
Portugal;Lisboa;15/08/2023;8;22,2;Estiu
Portugal;Lisboa;16/08/2023;8;21,4;Estiu
Portugal;Lisboa;17/08/2023;8;22,4;Estiu
Portugal;Lisboa;18/08/2023;8;21,7;Estiu
Portugal;Lisboa;19/08/2023;8;23,5;Estiu
Portugal;Lisboa;20/08/2023;8;25,7;Estiu
Portugal;Lisboa;21/08/2023;8;27,6;Estiu
Portugal;Lisboa;22/08/2023;8;27;Estiu
Portugal;Lisboa;23/08/2023;8;27;Estiu
Portugal;Lisboa;24/08/2023;8;25,9;Estiu
Portugal;Lisboa;25/08/2023;8;24,5;Estiu
Portugal;Lisboa;26/08/2023;8;21,5;Estiu
Portugal;Lisboa;27/08/2023;8;20,8;Estiu
Portugal;Lisboa;28/08/2023;8;21,3;Estiu
Portugal;Lisboa;29/08/2023;8;21,2;Estiu
Portugal;Lisboa;30/08/2023;8;21,4;Estiu
Portugal;Lisboa;31/08/2023;8;22,4;Estiu
Portugal;Lisboa;01/12/2023;12;11,6;Hivern
Portugal;Lisboa;02/12/2023;12;10,9;Hivern
Portugal;Lisboa;03/12/2023;12;12,2;Hivern
Portugal;Lisboa;04/12/2023;12;13,8;Hivern
Portugal;Lisboa;05/12/2023;12;10,9;Hivern
Portugal;Lisboa;06/12/2023;12;11,1;Hivern
Portugal;Lisboa;07/12/2023;12;15,5;Hivern
Portugal;Lisboa;08/12/2023;12;14,9;Hivern
Portugal;Lisboa;09/12/2023;12;16,6;Hivern
Portugal;Lisboa;10/12/2023;12;16,4;Hivern
Portugal;Lisboa;11/12/2023;12;15,3;Hivern
Portugal;Lisboa;12/12/2023;12;17,1;Hivern
Portugal;Lisboa;13/12/2023;12;13,7;Hivern
Portugal;Lisboa;14/12/2023;12;12,1;Hivern
Portugal;Lisboa;15/12/2023;12;11,7;Hivern
Portugal;Lisboa;16/12/2023;12;11,6;Hivern
Portugal;Lisboa;17/12/2023;12;10,1;Hivern
Portugal;Lisboa;18/12/2023;12;9;Hivern
Portugal;Lisboa;19/12/2023;12;9,1;Hivern
Portugal;Lisboa;20/12/2023;12;13,4;Hivern
Portugal;Lisboa;21/12/2023;12;11,8;Hivern
Portugal;Lisboa;22/12/2023;12;11,2;Hivern
Portugal;Lisboa;23/12/2023;12;10,2;Hivern
Portugal;Lisboa;24/12/2023;12;9,4;Hivern
